"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Relation.series","Name.subject","Subject","Name.repository","Name.publisher","Relation.isPartOf","Name.illustrator","Name.author","Name.engraver","Alt ID.lccn","Title","Alt ID.local","AltTitle.firstLine","Description.caption","AltTitle.other","Description.note","AltTitle.descriptive","Date.publication","Date.normalized","Publisher.publisherName","Format.dimensions","Alt ID.oclc","Publisher.placeOfOrigin","Format.extent","Opac url","Publisher.edition","Alt ID.callNo","Description.tableOfContents","Description.adminnote","Description.inscription","Date.creation","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng28z","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng28z_1311726_master.tif","1","","","","","private","","still image","","","","","","","","","","","","","","","cover","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng28z",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng29g","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng29g_1311729_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","The Sparrow-Hawk. Page 3","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng29g",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng2b0","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng2b0_1311736_master.tif","3","","","","","private","","still image","","","","","","","","","","","","","","","The Falcon. Page 5","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng2b0",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng2ch","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng2ch_1311745_master.tif","4","","","","","private","","still image","","","","","","","","","","","","","","","Ostrich. Page 8","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng2ch",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng2d1","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng2d1_1311754_master.tif","5","","","","","private","","still image","","","","","","","","","","","","","","","The Wren. Page 9","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng2d1",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng2fj","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng2fj_1311759_master.tif","6","","","","","private","","still image","","","","","","","","","","","","","","","The Owl. The Jay. Page 12","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng2fj",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng2g2","ark:/21198/zz001ng27f","2","Completed","Page","cbc/masters/21198-zz001ng2g2_1311762_master.tif","7","","","","","private","","still image","","","","","","","","","","","","","","","The Crane. Page 14","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng2g2",""
