"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017687s","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz0017687s_495104_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017687s"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176889","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz00176889_495107_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176889"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017689t","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz0017689t_495113_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017689t"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768bb","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768bb_495116_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768bb"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768cv","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768cv_495122_master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768cv"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768dc","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768dc_495125_master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768dc"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768fw","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768fw_495130_master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768fw"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768gd","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768gd_495137_master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768gd"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768hx","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768hx_495143_master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768hx"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001768jf","ark:/21198/zz00176868","2","Completed","Page","wavav/images/masters/21198-zz001768jf_495148_master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001768jf"
