"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63qv","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63qv-1-master.tif","1","","","","","","","","","","","","","","","","cover","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63qv",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63rc","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63rc-1-master.tif","2","","","","","","","","","","","","","","","","page 1a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63rc",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63sw","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63sw-1-master.tif","3","","","","","","","","","","","","","","","","page 1b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63sw",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63td","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63td-1-master.tif","4","","","","","","","","","","","","","","","","page 2a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63td",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63vx","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63vx-1-master.tif","5","","","","","","","","","","","","","","","","page 2b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63vx",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63wf","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63wf-1-master.tif","6","","","","","","","","","","","","","","","","page 3a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63wf",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63xz","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63xz-1-master.tif","7","","","","","","","","","","","","","","","","page 3b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63xz",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s63zg","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s63zg-1-master.tif","8","","","","","","","","","","","","","","","","page 4a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63zg",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s640g","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s640g-1-master.tif","9","","","","","","","","","","","","","","","","page 4b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s640g",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s6410","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s6410-1-master.tif","10","","","","","","","","","","","","","","","","page 5a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6410",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s642h","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s642h-1-master.tif","11","","","","","","","","","","","","","","","","page 5b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s642h",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s6431","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s6431-1-master.tif","12","","","","","","","","","","","","","","","","page 6a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6431",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s644j","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s644j-1-master.tif","13","","","","","","","","","","","","","","","","page 6b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s644j",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s6452","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s6452-1-master.tif","14","","","","","","","","","","","","","","","","page 7a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6452",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s646k","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s646k-1-master.tif","15","","","","","","","","","","","","","","","","page 7b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s646k",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s6473","ark:/21198/zz000s63pb","2","Completed","Page","orsini/masters/21198-zz000s6473-1-master.tif","16","","","","","","","","","","","","","","","","page 8a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6473",""
