Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz4q1,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz4q1_1268852_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_010,,"""3"" floorplan, scale 39.37"" = 1 M","VDL Research House, floor plan of section 3, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz4q1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz4q1/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz4rj,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz4rj_1268879_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng|~|ger,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 12 in.,uclamss_1179_f0934_011,,"VDL Research House, ""3"" floorplan, scale 39.37"" = 1 M, section 3 showing sample display and office and bachelor apartment with complete kitchenette and 2 baths. Text also in german.","VDL Research House, detailed floor plan of section 3, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz4rj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz4rj/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz90k,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz90k_1269237_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 12 in.,uclamss_1179_f0934_012,,,"VDL Research House, floor plan of section 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz90k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz90k/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz913,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz913_1269240_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 12 in.,uclamss_1179_f0934_013,,,"VDL Research House, ink drawing of drawers, Los Angeles, California, 1932",1932,1 drawing,1932,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz913,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz913/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz92m,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz92m_1269243_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 15.5 in.,uclamss_1179_f0934_014,,,"VDL Research House, lower floor and landscape display of sections 1-12, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz92m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz92m/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz934,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz934_1269246_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 15.5 in.,uclamss_1179_f0934_015,,,"VDL Research House, upper floor and decks display of sections 13-19, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz934,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz934/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz94n,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz94n_1269249_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_f0934_016,,"Floor and landscape display with living room, private room #1, kitchen, dressing, bath, private room #2, carport, incinerator, child play yard, paved area.","VDL Research House, floor and landscape display, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz94n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz94n/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz955,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz955_1269252_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12.5 in.,uclamss_1179_f0934_017,,Item contains description.,"VDL Research House, ink drawing of drawers, Los Angeles, California, 1932",1932,1 drawing,1932,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz955,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz955/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz96p,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz96p_1269255_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_018,,,"VDL Research House, floor plan of section 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz96p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz96p/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz976,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz976_1269258_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8.5 x 8.5 in.,uclamss_1179_f0934_019,,,"VDL Research House, general floor plan of sections 1, 2, 3, and 4, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz976,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz976/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz98q,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz98q_1269261_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_020,,,"VDL Research House, floor plan of section 1, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz98q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz98q/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz997,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz997_1269264_master.tif,,,,,,,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_021,,,"VDL Research House, floor plan of section 2, Los Angeles, California, 1932",1932,1 drawing,1932,graphite and pen and ink on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz997,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz997/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz9br,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz9br_1269267_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 12 in.,uclamss_1179_f0934_022,,,"VDL Research House, floor plan of section 3, Los Angeles, California, 1932",1932,1 drawing,1932,graphite and pen and ink on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz9br,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz9br/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dz9c8,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dz9c8_1269270_master.tif,,,,,,still image|~|text,,,private,,Elevations|~|notes,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8.5 x 10.5 in.,uclamss_1179_f0934_023,,,"VDL Research House, kitchen details, Los Angeles, California, 1932",1932,1 p.,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dz9c8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dz9c8/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbfs,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbfs_1269320_master.tif,,,,,,still image|~|text,,,private,,Elevations,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",19 x 54 in.,uclass_1179_f0934_024,,,"VDL Research House, elevation drawing, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbfs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbfs/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbnw,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbnw_1269323_master.tif,,,,,,still image|~|text,,,private,,Floor plans|~|Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 15 in.,uclamss_1179_f0934_025,,Floor plan of first and second floors.,"VDL Research House, first and second floor displays, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbnw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbnw/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbpd,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbpd_1269336_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9.5 x 15 in.,uclamss_1179_f0934_026,,,"VDL Research House, plot plan, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbpd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbpd/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbsz,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbsz_1269345_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14.5 x 18 in.,uclamss_1179_f0934_027,,"First floor plan of guest room, work room, alcove, store room, entry, dressing room, bathroom, and master bedroom.","VDL Research House, first floor plan, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbsz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbsz/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbtg,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbtg_1269348_master.tif,,,,,,still image|~|text,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9 x 13 in.,uclamss_1179_f0934_028,,,"VDL Research House, solarium floor plan, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbtg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbtg/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbv0,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbv0_1269351_master.tif,,,,,,still image|~|text,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 18 in.,uclamss_1179_f0934_029,,"Second floor plan of living room, kitchen, terrace, bedroom 1, bathroom, and bedroom 2.","VDL Research House, second floor plan, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbv0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbv0/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbwh,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbwh_1269354_master.tif,,,,,,still image|~|text,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",12 x 19 in.,uclamss_1179_f0934_030,,,"VDL Research House, sketch with dimensions of wall details, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbwh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbwh/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbx1,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbx1_1269357_master.tif,,,,,,still image,,,private,,Elevations|~|Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 19.5 in.,uclamss_1179_f0934_031,,,"VDL Research House, elevation drawing, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbx1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbx1/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzbzj,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzbzj_1269360_master.tif,,,,,,still image|~|text,,,private,,Plans|~|Sections,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",12 x 16 in.,uclamss_1179_f0934_032,,,"VDL Research House, foundation plan and section, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzbzj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzbzj/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzjj7,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzjj7_1269655_master.tif,,,,,,still image|~|text,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 13 in.,uclamss_1179_f0934_033,,"Typ A northwall, Typ B Southwall, Typ Southwall, cross-section, raised floor foundations of Typ A.","VDL Research House, foundation plans, Los Angeles, California, 1932",1932,1 drawing,1932,tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzjj7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzjj7/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzjkr,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzjkr_1269658_master.tif,,,,,,still image|~|text,,,private,,Plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",11 x 13 in.,uclamss_1179_f0934_034,,,"VDL Research House, planting plan, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzjkr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzjkr/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzjm8,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzjm8_1269661_master.tif,,,,,,still image|~|text,,,private,,Plans,,,California,,"Schlueter, Henry W.",dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13.5 x 10.5 in.,uclamss_1179_f0934_035,,,"VDL Research House, plan of reinforced concrete sections, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzjm8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzjm8/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzjns,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzjns_1269666_master.tif,,,,,,still image|~|text,,,private,,Sections|~|Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8.5 x 11 in.,uclamss_1179_f0934_036,,,"VDL Research House, door details, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzjns,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzjns/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dzjp9,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz001dzjp9_1269670_master.tif,,,,,,still image|~|text,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"VDL Research House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8.5 x 11 in.,uclamss_1179_f0934_037,,,"VDL Research House, breakfast room details, Los Angeles, California, 1932",1932,1 drawing,1932,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzjp9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzjp9/manifest
