"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760q5","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760q5-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760q5"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760rp","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760rp-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760rp"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760s6","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760s6-1-master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760s6"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760tq","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760tq-1-master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760tq"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760v7","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760v7-1-master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760v7"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760wr","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760wr-1-master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760wr"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760x8","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760x8-1-master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760x8"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001760zs","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz001760zs-1-master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001760zs"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017610s","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz0017610s-1-master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017610s"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176119","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz00176119-1-master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176119"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017612t","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz0017612t-1-master.tif","11","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017612t"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017613b","ark:/21198/zz00175zgm","2","Completed","Page","wavav/images/masters/21198-zz0017613b-1-master.tif","12","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017613b"
