"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Rights.copyrightStatus","Language","Description.note","Date.normalized","Date.creation","Title","Alt ID.local","Bucketeer State","IIIF Access URL"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbvk/1238sf10","ark:/21198/zz002gcbvk","","","Page","satellite/image/Best_of_Qufu_Shandong_DS1115-2167DF040_40_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbvk%2F1238sf10"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbvk/7x63vs9s","ark:/21198/zz002gcbvk","","","Page","satellite/image/Best_of_Qufu_Shandong_DS1115-2167DF040_40_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbvk%2F7x63vs9s"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbvk/rd42qp13","ark:/21198/zz002gcbvk","","","Page","satellite/image/Best_of_Qufu_Shandong_DS1115-2167DF040_40_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbvk%2Frd42qp13"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbvk/s8520856","ark:/21198/zz002gcbvk","","","Page","satellite/image/Best_of_Qufu_Shandong_DS1115-2167DF040_40_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbvk%2Fs8520856"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbw3/8825vv6d","ark:/21198/zz002gcbw3","","","Page","satellite/image/Chaoshuizhen_DS1103-2183DA020_20_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbw3%2F8825vv6d"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbw3/8j96z67h","ark:/21198/zz002gcbw3","","","Page","satellite/image/Chaoshuizhen_DS1103-2183DA020_20_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbw3%2F8j96z67h"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbw3/r521mh1f","ark:/21198/zz002gcbw3","","","Page","satellite/image/Chaoshuizhen_DS1103-2183DA020_20_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbw3%2Fr521mh1f"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbw3/vx05981v","ark:/21198/zz002gcbw3","","","Page","satellite/image/Chaoshuizhen_DS1103-2183DA020_20_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbw3%2Fvx05981v"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbxm/bn75rt4m","ark:/21198/zz002gcbxm","","","Page","satellite/image/Chifeng_DS1112-1070DA114_114_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbxm%2Fbn75rt4m"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbxm/bv10zv7t","ark:/21198/zz002gcbxm","","","Page","satellite/image/Chifeng_DS1112-1070DA114_114_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbxm%2Fbv10zv7t"
