Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Subject,Name.donor,Name.photographer,Name.artist,Alt ID.local,AltTitle.uniform,Format.extent,Relation.isPartOf,Rights.copyrightStatus,Title,AltTitle.other,Description.note,Date.creation,Format.medium,Date.normalized,Description.abstract,Rights.notice,Format.dimensions,Description.physicalDescription,Opac url,Finding Aid URL,Rights.servicesContact,Name.copyrightHolder,Name.repository,Name.manufacturer,Name.designer,Name.contributor,Publisher.publisherName,Name.subject,Name.architect,Name.printer,Bucketeer State,IIIF Access URL
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0017s12f,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0017s12f_724676_master.tif|~|castillo/masters/21198-zz0017s12f_1907655_master.tif|~|castillo/masters/21198-zz0017s12f_1907665_master.tif,,private,,,,,,Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_murals_01_00890.tif,Oscar Castillo Photograph Collection,,,,omit photo by Oscar,,,,,,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0017s908,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0017s908_724963_master.tif|~|castillo/masters/21198-zz0017s908_724968_master.tif,,private,,,,,,,,,,,,,,omit photo by Oscar,,,,,,,,,,,,,,,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0017zzqj,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0017zzqj_1658636_master.tif,,private,,,still image,Black-and-white photographs|~|drawings (visual works),"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_011.tif,Oscar Castillo Photograph Collection,1 Drawing,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Drawing by Beto de la Rocha,,,n.d.,Gelatin Silver photograph,n.d.,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0018007n,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0018007n_1658606_master.tif,,private,,,,,"photography -- Chicano|~|Rocha, Beto de la|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_009.tif,Oscar Castillo Photograph Collection,1 Letter,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Letter,,,1993 September,,1990/1999,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz001800x0,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz001800x0_1658530_master.tif,,,,,still image,,"Los Four|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_005.tif,Oscar Castillo Photograph Collection,,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",LACMA exhibit of Los Four Program,,,1974,Chromogenic Photograph,1970/1979,,,1 Photograph,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0018010h,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0018010h_1658590_master.tif,,private,,,,,"Castillo, Oscar R.|~|Chicano archives",,,"Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_008.tif,Oscar Castillo Photograph Collection,1 Letter,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Letter,,,1993 September,,1990/1999,,,,,,,,Oscar Castillo,,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00180132,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz00180132_1658620_master.tif,,private,,,,,,,,,csrc_ocpc_ephemeral_010.tif,,,,,Letter,,,,,,,,,,,,,,,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00180153,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz00180153_1658572_master.tif,,,,,still image,color photographs,"photography -- Chicano|~|photography -- Mexican American|~|Los Four|~|Photographers--California, Southern--Archival resources|~|Castillo, Oscar R.|~|documentary photography|~|Chicano artists--California--Los Angeles County|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_007.tif,Oscar Castillo Photograph Collection,1 Photograph,Ocsar Castillo Papers,,LACMA exhibit of Los Four Program,,,1974,Chromogenic Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0018018n,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz0018018n_1658549_master.tif,,,,,still image,color photographs,"photography -- Chicano|~|Los Four|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_006.tif,Oscar Castillo Photograph Collection,1 Photograph,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",LACMA exhibit of Los Four Program,,,1974,Chromogenic Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00180195,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz00180195_1658527_master.tif,,,,,still image,color photographs,"photography -- Chicano|~|Los Four|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_004.tif,Oscar Castillo Photograph Collection,1 Photograph,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",LACMA exhibit of Los Four Program,,,1974,Chromogenic Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
