Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002k767s/4g85kv8f,ark:/21198/zz002k767s,,,Page,Masters/Maps/east_asian_maps/image/srgb/21198-zz002k767s_2386754_master.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k767s%2F4g85kv8f,
East Asian Maps in the Bruman Collection,ark:/21198/zz002k767s/h947wf07,ark:/21198/zz002k767s,,,Page,Masters/Maps/east_asian_maps/image/srgb/21198-zz002k767s_2386760_master.tif,4,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k767s%2Fh947wf07,
East Asian Maps in the Bruman Collection,ark:/21198/zz002k767s/r453sg5f,ark:/21198/zz002k767s,,,Page,Masters/Maps/east_asian_maps/image/srgb/21198-zz002k767s_2386757_master.tif,3,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k767s%2Fr453sg5f,
East Asian Maps in the Bruman Collection,ark:/21198/zz002k767s/v606dw73,ark:/21198/zz002k767s,,,Page,Masters/Maps/east_asian_maps/image/srgb/21198-zz002k767s_2386643_master.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k767s%2Fv606dw73,
