"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z14j21s4","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j21s4",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z10s191c","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s191c",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1w10skf","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10skf",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1rb8r7f","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8r7f",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1mk80k0","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk80k0",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1gt77wq","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt77wq",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1c26h48","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_007.tif","7","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26h48",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1795r96","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_008.tif","8","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795r96",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z13j50kv","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_009.tif","9","","","","","","","","","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j50kv",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1zs4h5g","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_010.tif","10","","","","","","","","","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4h5g",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1v42fvc","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_011.tif","11","","","","","","","","","","","","","","","","Page 11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42fvc",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1qc1q6z","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_012.tif","12","","","","","","","","","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1q6z",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1km0zj4","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_013.tif","13","","","","","","","","","","","","","","","","Page 13","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zj4",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1fv06rw","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_014.tif","14","","","","","","","","","","","","","","","","Page 14","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv06rw",""
"ARPANET Project Notes","ark:/21198/zz002h2dtd","ark:/21198/z1b29fz1","","","Page","arpanet/image/pdf_images/21198-zz002h2dtd-1-master_015.tif","15","","","","","","","","","","","","","","","","Page 15","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29fz1",""
