"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject","Name.author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","Alt ID.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Description.abstract","Bucketeer State","IIIF Access URL"
"St Gall Manuscripts","ark:/21198/zz00294sff","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_001_r.tif","1","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sgz","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_001_v.tif","2","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294shg","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_002_r.tif","3","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sj0","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_002_v.tif","4","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294skh","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_003_r.tif","5","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sm1","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_003_v.tif","6","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294snj","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_004_r.tif","7","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sp2","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_004_v.tif","8","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sqk","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_005_r.tif","9","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sr3","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_005_v.tif","10","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294ssm","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_006_r.tif","11","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294st4","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_006_v.tif","12","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294svn","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_007_r.tif","13","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sw5","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_007_v.tif","14","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sxp","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_008_r.tif","15","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294sz6","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_008_v.tif","16","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294t06","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_009_r.tif","17","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294t1q","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_009_v.tif","18","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294t27","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_010_r.tif","19","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz00294t3r","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/csg-0279/napoli_4_010_v.tif","20","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10v","","","","","","","","","","","","failed",
