"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Rights.copyrightStatus","Rights.publicationStatus","Language","Type.typeOfResource","Type.genre","Subject.conceptTopic","Subject geographic","Name.creator","Name.repository","Note","Title","Alt ID.local","Date.creation","Date.normalized","Description.fundingNote","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Description.note","Coverage.geographic","AltTitle.translated","AltTitle.descriptive","Alt ID.lccn","Alt ID.oclc","Alt ID.url","Bucketeer State","IIIF Access URL"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgd91","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_5Mil_HLO_1944_ED2.tif","912","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","easternmost:E1280000|~|southernmost:N0150000|~|northernmost:N0500000|~|westernmost:E0880000","China","G7820_5Mil_HLO_1944_ED2|~|Monograph_Maps","1945","1945","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","2nd edition.","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdbj","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_7M_NGS_1945.tif","913","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","northernmost:N0480000|~|easternmost:E1520000|~|westernmost:E0680000|~|southernmost:N0160000","China","G7820_7M_NGS_1945|~|Monograph_Maps","1945","1945","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgddk","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_A1_8_5M_IPRUCR_ND.tif","915","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","southernmost:N0200000|~|westernmost:E0700000|~|easternmost:E1300000|~|northernmost:N0400000","China","G7821_A1_8_5M_IPRUCR_ND|~|Monograph_Maps","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdf3","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_A5_NS_NP_c_1941_45.tif","916","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Wings Over China","G7821_A5_NS_NP_c_1941_45|~|Monograph_Maps","1941","1941","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdgm","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_China_Historic.tif","917","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","easternmost:E1500000|~|westernmost:E0700000|~|southernmost:N0200000|~|northernmost:N0500000","China: The Divided Republic","G7821_China_Historic|~|Monograph_Maps","1922","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdh4","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_E59_c_3_5M_1R1S_1945.tif","918","","","pd","","eng","cartographic","map","Crops--China--Maps","China--Maps","United States. Department of State. Interim Research and Intelligence Service. Research and Analysis Branch.|~|United States. War Department. Strategic Services Unit. Reproduction Branch.","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost:E1020000|~|easternmost:E1220000|~|westernmost:E1040000|~|northernmost:N0420000|~|southernmost:N0180000|~|easternmost:E1260000","China : food surpluses and deficiencies","G7821_E59_c_3_5M_1R1S_1945|~|Monograph_Maps","[1945]","1945","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Lithographed in the Reproduction Branch, SSU","1 map : col. ; 75 x 61 cm.","[Washington, D.C.]|~|dcu","Provisional ed.|~|lithographed in the Reproduction Branch, SSU.|~|""31 December 1945.""|~|LC copy stamped on: 111A. Mounted on cloth.|~|""No. 8314-R & A, IRIS.""|~|""Free.""|~|Provisional ed.","Crops|~|China|~|3800000","","","2007633422","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdjn","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_G1_NR_TRC_1912.tif","919","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Production Map Of China","G7821_G1_NR_TRC_1912|~|Monograph_Maps","7th September, 1912","1912-09-07","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdk5","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_H9_3_8Mil_OSS_1945_EDProv.tif","920","","","pd","","eng","cartographic","map","","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","northernmost:N0420000|~|southernmost:N0180000|~|easternmost:E1260000|~|westernmost:E1020000","China Coal Production And Consumption","G7821_H9_3_8Mil_OSS_1945_EDProv|~|Monograph_Maps","31 December 1945","1945-12-31","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","Provisional ed.","China","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdmp","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_J1_1945_U55_EDProv.tif","921","","","pd","","eng","cartographic","map","Agriculture--China--Maps|~|Agriculture--China--Hebei Sheng--Maps|~|Agriculture--China--Shangdong Sheng--Maps|~|Agriculture--China--Shanxi Sheng--Maps","China--Maps","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","northernmost:N0400000|~|easternmost:E1220000|~|southernmost:N0340000|~|westernmost:E1100000","North China: agricultural areas","G7821_J1_1945_U55_EDProv|~|Monograph_Maps","1945|~|19 January 1945","1945-01-19","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","Reproduction Branch, OSS","1 map : col. ; 26 x 33 cm.","dcu|~|[Washington, D.C.]","Provisional ed.|~|R & A, OSS.|~|""No. 5422.""|~|Provisional ed.","Hebei Sheng|~|Shangdong Sheng|~|Shanxi Sheng|~|China|~|3700000","","","","","","failed",
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hgdn6","ark:/21198/zz002hc63p","10","Completed with minimal metadata","Work","Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_P1_2_7M_FEA_1945_EDProv.tif","922","","","pd","","eng","cartographic","map","Transportation--China--Maps","China--Maps","United States. Foreign Economic Administration.","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","southernmost:N0180000|~|westernmost:E1000000|~|northernmost:N0420000|~|easternmost:E1260000","China, transportation","G7821_P1_2_7M_FEA_1945_EDProv|~|Monograph_Maps","June 15, 1945","1945-06-15","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","F.E.A.","1 map : col. ; 108 x 85 cm.","dcu|~|[Washington]","Provisional ed.|~|""June 15, 1945.""|~|Includes bibliographical references and index.|~|""Map no. 1379.""|~|Foreign Economic Administration, Enemy Branch.|~|Provisional ed.","China|~|2750000","","","","","","failed",
