Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz0028vds9,ark:/21198/zz0028tr8x,5,Imported,Work,,4,,,,,,cartographic,map,,,"Gendron, George A.|~|Pilcher, Walter R.|~|United States. Forest Service.",United States. Bureau of Agricultural Economics. Division of Land Economics.,eng,,,California--Population--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Population 1935,[1935?],westernmost:W1242500|~|easternmost:W1140700|~|southernmost:N0323200|~|northernmost:N0420000,The Division,"""Population research and analysis and preparation of map ... by George A. Gendron, assisted by Edmond O. Burger; cartography by Walter R. Pilcher.|~|Includes 2 insets, county outline map, index with population figures, and notes.|~|U.S. Department of Agriculture, Bureau of Agricultural Economics, Division of Land Economics, with the valuable assistance of the U.S. Forest Service.","dcu|~|[Washington, D.C.?]",1 map ; 124 x 94 cm.,California,,,,,1000000,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293vwp,ark:/21198/zz0028tr8x,7,Needs Review,Work,,18,,,,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[Map of California].,,,,,,,,,,,6563972,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jvm,ark:/21198/zz0028tr8x,1,In progress,Work,,43,,,,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Inyo County, California.",,,,Scale not given.,,,,24961594,G4363 Inyo 316 SMB 1900?,,806680,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b9sts,ark:/21198/zz0028tr8x,5,Imported,Work,,178,,,,,,cartographic,map,,,,"Hassan, A. F.",,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,State of California,,,,,abn,,,22806879,G4360 500 .USGS 1937,,6563824,,,,,,,no 98071897,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bc4gb,ark:/21198/zz0028tr8x,1,In progress,Work,,193,,,,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Lentell’s new railroad, township & educational map",,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2069353"">UCLA Catalog Record</a>",,,,26380610,G4360 var Lentell 1894,,2069353,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfrz5,ark:/21198/zz0028tr8x,1,In progress,Work,,254,,,,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Grazing district no. 1, California.",,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3501814"">UCLA Catalog Record</a>",,,,26370542,G4361.G4 1937 .U55,,3501814,,,,,,,,
