"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Title","Delete in Title","Thumbnail","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Language","Rights.permission","Name.repository","Relation.isPartOf","Name.creator","Rights.rightsHolderContact","Subject","Date.normalized","Date.creation","AltTitle.other","Alt ID.local","Opac url","Finding Aid URL","Summary","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Roberts (Larry) Collection","ark:/21198/z1xd2n92","ark:/21198/zz002dmvk0","","","Page","kleinrock/image/pdf_images/21198-zz002dmvk0-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2n92",""
"Roberts (Larry) Collection","ark:/21198/z1sn1wjw","ark:/21198/zz002dmvk0","","","Page","kleinrock/image/pdf_images/21198-zz002dmvk0-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1wjw",""
"Roberts (Larry) Collection","ark:/21198/z1nw14tj","ark:/21198/zz002dmvk0","","","Page","kleinrock/image/pdf_images/21198-zz002dmvk0-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw14tj",""
"Roberts (Larry) Collection","ark:/21198/z1j40d40","ark:/21198/zz002dmvk0","","","Page","kleinrock/image/pdf_images/21198-zz002dmvk0-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40d40",""
"Roberts (Larry) Collection","ark:/21198/z1db9nh2","ark:/21198/zz002dmvk0","","","Page","kleinrock/image/pdf_images/21198-zz002dmvk0-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9nh2",""
