"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxn7","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 1","uclamss_107_b04_f07_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxn7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxpr","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 2","uclamss_107_b04_f07_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxpr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxq8","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 3","uclamss_107_b04_f07_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxq8",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxrs","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 4","uclamss_107_b04_f07_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxrs",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxs9","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 5","uclamss_107_b04_f07_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxs9",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxtt","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 6","uclamss_107_b04_f07_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxtt",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxvb","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 7","uclamss_107_b04_f07_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxvb",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxwv","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 8","uclamss_107_b04_f07_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxwv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxxc","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 9","uclamss_107_b04_f07_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxxc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxzw","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 10","uclamss_107_b04_f07_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsxzw",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz0w","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 11","uclamss_107_b04_f07_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz0w",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz1d","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_012.tif","12","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 12","uclamss_107_b04_f07_012","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz1d",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz2x","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_013.tif","13","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 13","uclamss_107_b04_f07_013","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz2x",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz3f","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_014.tif","14","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 14","uclamss_107_b04_f07_014","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz3f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz4z","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_015.tif","15","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 15","uclamss_107_b04_f07_015","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz4z",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz5g","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_016.tif","16","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 16","uclamss_107_b04_f07_016","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz5g",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz60","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_017.tif","17","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 17","uclamss_107_b04_f07_017","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz60",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz7h","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_018.tif","18","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 18","uclamss_107_b04_f07_018","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz7h",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz81","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_019.tif","19","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 19","uclamss_107_b04_f07_019","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz81",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsz9j","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_020.tif","20","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 20","uclamss_107_b04_f07_020","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsz9j",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszb2","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_021.tif","21","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 21","uclamss_107_b04_f07_021","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszb2",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszck","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_022.tif","22","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 22","uclamss_107_b04_f07_022","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszck",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszd3","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_023.tif","23","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 23","uclamss_107_b04_f07_023","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszd3",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszfm","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_024.tif","24","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 24","uclamss_107_b04_f07_024","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszfm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszg4","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_025.tif","25","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 25","uclamss_107_b04_f07_025","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszg4",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszhn","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_026.tif","26","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 26","uclamss_107_b04_f07_026","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszhn",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszj5","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_027.tif","27","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 27","uclamss_107_b04_f07_027","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszj5",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszkp","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_028.tif","28","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 28","uclamss_107_b04_f07_028","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszkp",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszm6","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_029.tif","29","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 29","uclamss_107_b04_f07_029","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszm6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsznq","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_030.tif","30","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 30","uclamss_107_b04_f07_030","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsznq",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszp7","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_031.tif","31","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 31","uclamss_107_b04_f07_031","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszp7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszqr","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_032.tif","32","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 32","uclamss_107_b04_f07_032","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszqr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszr8","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_033.tif","33","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 33","uclamss_107_b04_f07_033","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszr8",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszss","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_034.tif","34","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 34","uclamss_107_b04_f07_034","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszss",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dszt9","ark:/21198/zz002dsxmq","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f07_035.tif","35","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 7, 35","uclamss_107_b04_f07_035","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dszt9",""
