"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5gx","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 1","uclamss_107_b12_f01_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5gx",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5hf","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 2","uclamss_107_b12_f01_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5hf",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5jz","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 3","uclamss_107_b12_f01_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5jz",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5kg","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 4","uclamss_107_b12_f01_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5kg",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5m0","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 5","uclamss_107_b12_f01_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5m0",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5nh","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 6","uclamss_107_b12_f01_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5nh",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5p1","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 7","uclamss_107_b12_f01_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5p1",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5qj","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 8","uclamss_107_b12_f01_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5qj",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5r2","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 9","uclamss_107_b12_f01_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5r2",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5sk","ark:/21198/zz002dv5fd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f01_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 1, 10","uclamss_107_b12_f01_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5sk",""
