"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt25c","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 1","uclamss_107_b04_f08_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt25c",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt26w","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 2","uclamss_107_b04_f08_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt26w",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt27d","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 3","uclamss_107_b04_f08_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt27d",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt28x","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 4","uclamss_107_b04_f08_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt28x",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt29f","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 5","uclamss_107_b04_f08_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt29f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt2bz","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 6","uclamss_107_b04_f08_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt2bz",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt2cg","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 7","uclamss_107_b04_f08_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt2cg",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt2d0","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 8","uclamss_107_b04_f08_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt2d0",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt2fh","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 9","uclamss_107_b04_f08_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt2fh",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt2g1","ark:/21198/zz002dt24v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f08_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 8, 10","uclamss_107_b04_f08_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dt2g1",""
