"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Date.creation","Date.normalized","Name.creator","Subject","Title","AltTitle.other","Alt ID.local","Description.note","Summary","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhm9/9t58sb7p","ark:/21198/zz0026jhm9","","","Page","hayne/image/21198-zz0026jhm9_1769292_master.tif","4","","private","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhm9%2F9t58sb7p",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhm9/f444zh11","ark:/21198/zz0026jhm9","","","Page","hayne/image/21198-zz0026jhm9_1769286_master.tif","2","","private","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhm9%2Ff444zh11",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhm9/v1645x28","ark:/21198/zz0026jhm9","","","Page","hayne/image/21198-zz0026jhm9_1769295_master.tif","5","","private","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhm9%2Fv1645x28",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhm9/vw75qd6j","ark:/21198/zz0026jhm9","","","Page","hayne/image/21198-zz0026jhm9_1769289_master.tif","3","","private","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhm9%2Fvw75qd6j",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhm9/wg03x06h","ark:/21198/zz0026jhm9","","","Page","hayne/image/21198-zz0026jhm9_1769283_master.tif","1","","private","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhm9%2Fwg03x06h",""
