"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590102_001.tif","Page","Page 1","1","ark:/21198/z1185tq6","ark:/21198/z1j12qfg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12qfg"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590102_002.tif","Page","Page 2","2","ark:/21198/z1185tq6","ark:/21198/z1d81zp9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81zp9"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590102_003.tif","Page","Page 3","3","ark:/21198/z1185tq6","ark:/21198/z18h16xh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h16xh"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590102_004.tif","Page","Page 4","4","ark:/21198/z1185tq6","ark:/21198/z14r0g49","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0g49"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590104_001.tif","Page","Page 1","1","ark:/21198/z12545fn","ark:/21198/z10z9qhc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9qhc"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590104_002.tif","Page","Page 2","2","ark:/21198/z12545fn","ark:/21198/z1w97xct","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97xct"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590104_003.tif","Page","Page 3","3","ark:/21198/z12545fn","ark:/21198/z1rj75qc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj75qc"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590104_004.tif","Page","Page 4","4","ark:/21198/z12545fn","ark:/21198/z1ms6f1h","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6f1h"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590105_001.tif","Page","Page 1","1","ark:/21198/z1qn8v0b","ark:/21198/z1h15p76","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15p76"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590105_002.tif","Page","Page 2","2","ark:/21198/z1qn8v0b","ark:/21198/z1c84xhg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84xhg"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590105_003.tif","Page","Page 3","3","ark:/21198/z1qn8v0b","ark:/21198/z17h45q7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h45q7"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590105_004.tif","Page","Page 4","4","ark:/21198/z1qn8v0b","ark:/21198/z13r3f2t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3f2t"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_001.tif","Page","Page 1","1","ark:/21198/z1m06smb","ark:/21198/z1031cpt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031cpt"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_002.tif","Page","Page 2","2","ark:/21198/z1m06smb","ark:/21198/z1vb0w9w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0w9w"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_003.tif","Page","Page 3","3","ark:/21198/z1m06smb","ark:/21198/z1qk04hn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk04hn"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_004.tif","Page","Page 4","4","ark:/21198/z1m06smb","ark:/21198/z1ks9csc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9csc"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_005.tif","Page","Page 5","5","ark:/21198/z1m06smb","ark:/21198/z1g18n0g","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18n0g"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_006.tif","Page","Page 6","6","ark:/21198/z1m06smb","ark:/21198/z1b87w8r","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87w8r"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_007.tif","Page","Page 7","7","ark:/21198/z1m06smb","ark:/21198/z16h74m9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h74m9"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_008.tif","Page","Page 8","8","ark:/21198/z1m06smb","ark:/21198/z12v5399","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v5399"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_009.tif","Page","Page 9","9","ark:/21198/z1m06smb","ark:/21198/z1z34kx8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34kx8"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590107_010.tif","Page","Page 10","10","ark:/21198/z1m06smb","ark:/21198/z1tb3v5h","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3v5h"
"Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590112_001.tif","Page","Page 1","1","ark:/21198/z1g761xf","ark:/21198/z1pk33dq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk33dq"
