Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0008b9tw,,2,Completed,Collection,,,,,,,,,,,,,,,,"Richard and Dion Neutra, Architects and Associates--Archives",,Architecture--California--20th century|~|Architects $z 20th century,,,,,,,Richard and Dion Neutra Papers,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,Collection 1179,"Copyright has not been assigned to the Department of Special Collections, UCLA. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Manuscripts Librarian. Permission for publication is given on behalf of the Dept. of Special Collections as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained. Deposit material is unavailable for research.|~|Photographs by Julius Shulman may not be copied.|~|Drawings cannot be copied except with the prior written permission of Mr. Dion Neutra.","Richard Josef Neutra (1892-1970) was born in Vienna. He was the city architect for Luckenwalde, then worked as a draftsman-collaborator with Erich Mendelsohn in Berlin before immigrating to the United States in 1923. He worked with Frank Lloyd Wright (1924) before settling in Los Angeles. His most productive years were during 1930s and 1940s. In the 1960s, Richard J Neutra worked in partnership with his son Dion. The collection consists of correspondence both personal and professional belonging to Richard J Neutra as well as his wife Dione Neutra, travel records and sketches, publications, drawings, blueprints, oversized rolled plans, audio recordings, and photographs.","Richard and Dion Neutra Papers, 1925-1970",1925-1970,,1925/1970,,,,"Richard Josef Neutra was born in 1892 in Vienna. He immigrated to the United States in 1923 to work with the architect Frank Lloyd Wright. Neutra's wife Dione Neutra (1901 – 1990) and their eldest son Frank immigrated in 1924. During the fall of 1924, Frank Lloyd Wright invited Richard Neutra to his Taliesin Estate located in Spring Green, WI where Wright resided and worked. Neutra subsequently moved to Los Angeles, CA in 1925. His most productive years were during the 1930s and 1940s. During his last decade, Richard Neutra worked in partnership with his son Dion (1926 – 2019), who worked on numerous projects in the Neutra and Neutra and Alexander offices. Dione Neutra was involved with her husband's career and served as his executive assistant and publicist. Richard Neutra published several books, including Wie baut Amerika? (1927) and Survival Through Design (1954). He died in 1970.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008b9tw
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0008bctv,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0008bctv-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Instant camera photographs,,,,,,,,,,"Argent Place (Los Angeles, Calif.)|~|Akai House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",11 x 14 cm. (4.5 x 5.5 in.),clus_1179_b775_f2_1,,Image reproduced in Neutra : Complete Works: page 410.|~|Richard Neutra : complete works / Barbara Mac Lamprecht. c2000,"Akai House, exterior [photograph]",1961,1 photograph print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008bctv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bctv/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912h7,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912h7-1-master.tif,,,,,,still image,,,,,Black-and-white photographs,,,,,,,,,,"Artega House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b776_f5_1,,,"Artega House, exterior garage and front [photograph]",n.d.,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912h7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912h7/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912jr,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912jr-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural drawings,,,,,,apartment houses,,,,"Avion Village (Grand Prairie, Tex.)","Neutra, Richard Joseph, $d 1892-1970",,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b777_f2_1,,Image reproduced in Neutra : Complete Works: page 160.|~|Richard Neutra : complete works / Barbara Mac Lamprecht. c2000,"Avion Village, two-story building with painted landscape",1941,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912jr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912jr/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912k8,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912k8-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural photographs,,,,,,apartment houses,,,,"Avion Village (Grand Prairie, Tex.)","Neutra, Richard Joseph, $d 1892-1970",Geo. E. Marshall Studio,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b777_f2_2,,Landscaping painted or drawn on photograph.|~|Image reproduced in Neutra : Complete Works: page 160.|~|Richard Neutra : complete works / Barbara Mac Lamprecht. c2000,"Avion Village, two-story building",1941,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912k8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912k8/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912ms,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912ms-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural photographs,,,,,,schools (buildings),,,,"Alamitos School (Garden Grove, Calif.)",Neutra and Alexander,"Shulman, Julius",,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b779_f1_3,,,"Alamitos School, children in classroom and quad [photograph]",1960,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912ms,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912ms/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912n9,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912n9-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural photographs,,,,,,dwellings,,,,"Bizzarri House (Cleveland, Ohio)","Neutra, Richard Joseph, $d 1892-1970",,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b783_f1_2,,Pencil marks on door around peep hole.|~|Image reproduced in Neutra : Complete Works: page 379.|~|Richard Neutra : complete works / Barbara Mac Lamprecht. c2000,"Bizzarri House, entrance exterior",1960,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912n9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912n9/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912pt,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912pt-1-master.tif,,,,,,still image,,,,,Black-and-white photographs,,,,,,dwellings,,,,"Adolph Brown House (Los Angeles County, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,clus_1179_b783_f7_1,,"Photograph not found in folder, cataloged from digital image.","Adolph Brown House, exterior garden [photograph]",1950,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912pt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912pt/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912qb,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912qb-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural photographs,,,,,"Ain, Gregory, 1908-",dwellings,,,,"Beard House (Altadena, Calif.)","Neutra, Richard Joseph, $d 1892-1970",Luckhaus Studio,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 23 cm. (8 x 9 in.),clus_1179_b778_f7_2,,,"Beard House, exterior view from South West",1935,1 photographic print,1935,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912qb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912qb/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000912rv,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz000912rv-1-master.tif,,,,,,still image,,,,,Black-and-white photographs|~|Architectural photographs,,,,,,,,,,"Avion Village (Grand Prairie, Tex.)","Neutra, Richard Joseph, $d 1892-1970",Geo. E. Marshall Studio,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b777_f2_3,,Image reproduced in Neutra : Complete Works: page 160.|~|Richard Neutra : complete works / Barbara Mac Lamprecht. c2000,"Avion Village, single story houses on Byrd Way looking West [photograph]",1941,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000912rv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000912rv/manifest
