Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqbz/06245d8w,ark:/21198/zz001nmqbz,,,Page,mpstills/masters/21198-zz001nmqbz-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqbz/fh847r6z,ark:/21198/zz001nmqbz,,,Page,mpstills/masters/21198-zz001nmqbz_1692582_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqcg/1m38df15,ark:/21198/zz001nmqcg,,,Page,mpstills/masters/21198-zz001nmqcg_1692516_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqcg/dk53096x,ark:/21198/zz001nmqcg,,,Page,mpstills/masters/21198-zz001nmqcg_1692519_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqfh/8s735t7k,ark:/21198/zz001nmqfh,,,Page,mpstills/masters/21198-zz001nmqfh-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqfh/nm44pm9j,ark:/21198/zz001nmqfh,,,Page,mpstills/masters/21198-zz001nmqfh-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqg1/pd06p30b,ark:/21198/zz001nmqg1,,,Page,mpstills/masters/21198-zz001nmqg1_1692622_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqg1/z096554p,ark:/21198/zz001nmqg1,,,Page,mpstills/masters/21198-zz001nmqg1_1692618_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqhj/0k66vd2k,ark:/21198/zz001nmqhj,,,Page,mpstills/masters/21198-zz001nmqhj_1692612_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqhj/f4834837,ark:/21198/zz001nmqhj,,,Page,mpstills/masters/21198-zz001nmqhj_1692615_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
