"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.servicesContact","Name.subject","Relation.isPartOf","Subject","Name.collector","Name.repository","Description.contents","Relation.box","Relation.subseries","Relation.file","Relation.series","Alt ID.local","Title","Date.creation","Description.note","Description.condition","Format.extent","Language","AltTitle.other","Description.abstract","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmfn","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_01.tif","1","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmfn",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmg5","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_02.tif","2","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 2","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmg5",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmhp","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_03.tif","3","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 3","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmhp",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmj6","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_04.tif","4","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 4","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmj6",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmkq","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_05.tif","5","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 5","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmkq",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmm7","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_06.tif","6","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 6","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmm7",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmnr","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_07.tif","7","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 7","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmnr",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmp8","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_08.tif","8","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 8","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmp8",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmqs","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_09.tif","9","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 9","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmqs",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmr9","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_10.tif","10","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 10","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmr9",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmst","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_11.tif","11","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 11","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmst",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmtb","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_12.tif","12","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 12","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmtb",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmvv","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_13.tif","13","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 13","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmvv",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmwc","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_14.tif","14","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 14","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmwc",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmxw","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_15.tif","15","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 15","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmxw",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmzd","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_16.tif","16","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 16","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmzd",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcn0d","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_17.tif","17","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 17","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcn0d",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcn1x","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_18.tif","18","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 18","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcn1x",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcn2f","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_19.tif","19","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 19","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcn2f",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcn3z","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_20.tif","20","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 20","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcn3z",""
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcn4g","ark:/21198/zz002hckmr","2","Completed","Page","holtzman/image/uclamss_1729_007-001_01_21.tif","21","","","","","","","","","","","","","","","","10","2","","","","uclamss_1729_b02_f10|~|007-001","Page 21","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcn4g",""
