"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_001.tif","1","","Front Cover","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/sw43zc5x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fsw43zc5x"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_002.tif","2","","Inside Front Cover","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/h008p740","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fh008p740"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_003.tif","3","","Page 1","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/hq11sf52","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fhq11sf52"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_004.tif","4","","Page 2","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/pp08t512","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fpp08t512"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_005.tif","5","","Page 3","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/r561km34","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fr561km34"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_006.tif","6","","Page 4","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/m130cp0d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fm130cp0d"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_007.tif","7","","Page 5","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/t782tc9s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Ft782tc9s"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_008.tif","8","","Page 6","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/sp936f14","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fsp936f14"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_009.tif","9","","Page 7","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/sm13n143","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fsm13n143"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_010.tif","10","","Page 8","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/cp48h463","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fcp48h463"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_011.tif","11","","Page 9","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/nr369p11","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Fnr369p11"
"Masters/othermasters/dl_toganoo/masters/3276172/ucla_3276172_012.tif","12","","Page 10","","","","ark:/21198/n1zs70","ark:/21198/n1zs70/rr78jz2d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs70%2Frr78jz2d"
