"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_016.tif","16","","Page 14","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/5c072v0v","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F5c072v0v"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_017.tif","17","","Page 15","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/rf63pv27","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Frf63pv27"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_018.tif","18","","Page 16","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/z361dk5q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fz361dk5q"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_019.tif","19","","Page 17","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/k366wj5c","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fk366wj5c"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_020.tif","20","","Page 18","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/m8574s4q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fm8574s4q"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_021.tif","21","","Page 19","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/kw38b18z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fkw38b18z"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_022.tif","22","","Page 20","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/b6006w3s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fb6006w3s"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_023.tif","23","","Page 21","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/s771nv2w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fs771nv2w"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_024.tif","24","","Page 22","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/wc64p29k","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fwc64p29k"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_025.tif","25","","Page 23","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/ck25d84d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fck25d84d"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_026.tif","26","","Page 24","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/bd72978m","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fbd72978m"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_027.tif","27","","Page 25","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/pv76649b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fpv76649b"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_028.tif","28","","Page 26","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/sm345887","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fsm345887"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_029.tif","29","","Page 27","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/6322kf8x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F6322kf8x"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_030.tif","30","","Page 28","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/wk08jp29","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fwk08jp29"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_031.tif","31","","Page 29","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/s443cg78","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fs443cg78"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_032.tif","32","","Page 30","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/9061d66n","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F9061d66n"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_033.tif","33","","Page 31","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/bj85m03b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fbj85m03b"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_034.tif","34","","Page 32","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/sm99jb61","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fsm99jb61"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_035.tif","35","","Page 33","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/zf11hg76","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fzf11hg76"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_036.tif","36","","Page 34","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/sc574f15","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fsc574f15"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_037.tif","37","","Page 35","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/h882m226","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fh882m226"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_038.tif","38","","Page 36","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/jm63x35t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fjm63x35t"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_039.tif","39","","Page 37","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/pw77w43t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fpw77w43t"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_040.tif","40","","Page 38","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/p2610p18","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fp2610p18"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_041.tif","41","","Page 39","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/md08cv5d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fmd08cv5d"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_042.tif","42","","Page 40","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/g614hp1z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fg614hp1z"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_043.tif","43","","Page 41","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/r9598n03","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fr9598n03"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_044.tif","44","","Page 42","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/k545md98","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fk545md98"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_045.tif","45","","Page 43","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/x5593c59","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fx5593c59"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_046.tif","46","","Page 44","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/c9031r31","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fc9031r31"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_047.tif","47","","Page 45","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/zj87847s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fzj87847s"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_048.tif","48","","Page 46","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/6300vb66","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F6300vb66"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_049.tif","49","","Page 47","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/0884z11z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F0884z11z"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_050.tif","50","","Page 48","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/t8850w1h","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Ft8850w1h"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_051.tif","51","","Page 49","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/bf04cv88","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fbf04cv88"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_052.tif","52","","Page 50","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/px593d13","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fpx593d13"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_053.tif","53","","Page 51","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/kg43jz48","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fkg43jz48"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_054.tif","54","","Page 52","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/vs11sh9q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fvs11sh9q"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_055.tif","55","","Page 53","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/8366cz20","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F8366cz20"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_056.tif","56","","Page 54","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/k180cx3t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fk180cx3t"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_057.tif","57","","Page 55","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/1p96s798","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F1p96s798"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_058.tif","58","","Page 56","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/4827xc6b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F4827xc6b"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_059.tif","59","","Page 57","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/bb78jf46","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fbb78jf46"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_060.tif","60","","Page 58","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/q4850297","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fq4850297"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_061.tif","61","","Page 59","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/0w01hz7n","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F0w01hz7n"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_062.tif","62","","Page 60","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/cf43qc6f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fcf43qc6f"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_063.tif","63","","Page 61","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/03442k8d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F03442k8d"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_064.tif","64","","Page 62","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/82332q47","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F82332q47"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_065.tif","65","","Page 63","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/6s74gx9v","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F6s74gx9v"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_066.tif","66","","Page 64","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/53430h7j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F53430h7j"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_067.tif","67","","Page 65","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/2t111b7p","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F2t111b7p"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_068.tif","68","","Page 66","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/xd33c76r","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fxd33c76r"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_069.tif","69","","Page 67","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/h2389r6q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fh2389r6q"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_070.tif","70","","Page 68","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/1m53q91w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F1m53q91w"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_071.tif","71","","Page 69","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/zg16dq9g","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fzg16dq9g"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_072.tif","72","","Page 70","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/5771kf0x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F5771kf0x"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_073.tif","73","","Page 71","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/5h76tw04","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F5h76tw04"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_074.tif","74","","Page 72","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/5z324c1s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F5z324c1s"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_075.tif","75","","Page 73","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/qt623n4b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fqt623n4b"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_076.tif","76","","Page 74","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/rs75m44d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Frs75m44d"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_077.tif","77","","Page 75","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/2168r546","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F2168r546"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_078.tif","78","","Page 76","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/pp03hg2f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fpp03hg2f"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_079.tif","79","","Page 77","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/rk11hv6b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Frk11hv6b"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_080.tif","80","","Page 78","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/v036466f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fv036466f"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_081.tif","81","","Page 79","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/s2520h8t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fs2520h8t"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_082.tif","82","","Page 80","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/0n61bp9j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F0n61bp9j"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_083.tif","83","","Page 81","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/qf80r406","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fqf80r406"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_084.tif","84","","Page 82","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/3d27mk6j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2F3d27mk6j"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_085.tif","85","","Page 83","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/jd37s12p","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fjd37s12p"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_086.tif","86","","Page 84","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/gb57s09n","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fgb57s09n"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_087.tif","87","","Page 85","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/p1254b24","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fp1254b24"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_088.tif","88","","Page 86","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/cg53nj39","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fcg53nj39"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_089.tif","89","","Page 87","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/wn22763z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fwn22763z"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_090.tif","90","","Page 88","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/wr713s2h","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fwr713s2h"
"Masters/othermasters/dl_toganoo/masters/3061498_v1/ucla_3061498_v1_091.tif","91","","Page 89","","","","ark:/21198/n1mm0h","ark:/21198/n1mm0h/hm51kp60","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mm0h%2Fhm51kp60"
