"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_001.tif","1","","Front cover","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/sw43zc5x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fsw43zc5x"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_002.tif","2","","Page spread 1","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/h008p740","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fh008p740"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_003.tif","3","","Page spread 2","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/hq11sf52","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fhq11sf52"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_004.tif","4","","Page spread 3","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/pp08t512","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fpp08t512"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_005.tif","5","","Page spread 4","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/r561km34","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fr561km34"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_006.tif","6","","Page spread 5","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/m130cp0d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fm130cp0d"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_007.tif","7","","Page spread 6","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/t782tc9s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Ft782tc9s"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_008.tif","8","","Page spread 7","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/sp936f14","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fsp936f14"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_009.tif","9","","Page spread 8","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/sm13n143","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fsm13n143"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_010.tif","10","","Page spread 9","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/cp48h463","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fcp48h463"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_011.tif","11","","Page spread 10","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/nr369p11","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fnr369p11"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_012.tif","12","","Page spread 11","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/rr78jz2d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Frr78jz2d"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol06/uclaeal_wahon_B08_bib1728441_vol06_013.tif","13","","Page spread 12","","","","ark:/21198/z1zc9j0d","ark:/21198/z1zc9j0d/dx14801w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9j0d%2Fdx14801w"
