Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Rights.permission,Title,AltTitle.translated,Publisher.publisherName,Format.extent,Date.creation,Coverage.geographic,Opac url
DIYALoG,ark:/21198/z1hb0rv9,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_001.tif,1,,,,,,,,,,,Page 1,,,,,,
DIYALoG,ark:/21198/z1ck014c,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_002.tif,2,,,,,,,,,,,Page 2,,,,,,
DIYALoG,ark:/21198/z17s98fj,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_003.tif,3,,,,,,,,,,,Page 3,,,,,,
DIYALoG,ark:/21198/z144774v,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_004.tif,4,,,,,,,,,,,Page 4,,,,,,
DIYALoG,ark:/21198/z10c6gg1,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_005.tif,5,,,,,,,,,,,Page 5,,,,,,
DIYALoG,ark:/21198/z1vm6004,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_006.tif,6,,,,,,,,,,,Page 6,,,,,,
DIYALoG,ark:/21198/z1qv577z,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_007.tif,7,,,,,,,,,,,Page 7,,,,,,
DIYALoG,ark:/21198/z1m34gd6,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_008.tif,8,,,,,,,,,,,Page 8,,,,,,
DIYALoG,ark:/21198/z1gb3qqx,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_009.tif,9,,,,,,,,,,,Page 9,,,,,,
DIYALoG,ark:/21198/z1bp1pfc,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_010.tif,10,,,,,,,,,,,Page 10,,,,,,
DIYALoG,ark:/21198/z16x0xr3,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_011.tif,11,,,,,,,,,,,Page 11,,,,,,
DIYALoG,ark:/21198/z135063c,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_012.tif,12,,,,,,,,,,,Page 12,,,,,,
DIYALoG,ark:/21198/z1zc9pnk,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_013.tif,13,,,,,,,,,,,Page 13,,,,,,
DIYALoG,ark:/21198/z1tm8xvz,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_014.tif,14,,,,,,,,,,,Page 14,,,,,,
DIYALoG,ark:/21198/z1pv8624,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_015.tif,15,,,,,,,,,,,Page 15,,,,,,
DIYALoG,ark:/21198/z1k37fbq,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_016.tif,16,,,,,,,,,,,Page 16,,,,,,
DIYALoG,ark:/21198/z1ff5d08,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_017.tif,17,,,,,,,,,,,Page 17,,,,,,
DIYALoG,ark:/21198/z19p4n90,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_018.tif,18,,,,,,,,,,,Page 18,,,,,,
DIYALoG,ark:/21198/z15x3wn5,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_019.tif,19,,,,,,,,,,,Page 19,,,,,,
DIYALoG,ark:/21198/z12534zk,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_020.tif,20,,,,,,,,,,,Page 20,,,,,,
DIYALoG,ark:/21198/z1xd2ncz,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_021.tif,21,,,,,,,,,,,Page 21,,,,,,
DIYALoG,ark:/21198/z1sn1wms,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_022.tif,22,,,,,,,,,,,Page 22,,,,,,
DIYALoG,ark:/21198/z1nw14xw,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_023.tif,23,,,,,,,,,,,Page 23,,,,,,
DIYALoG,ark:/21198/z1j693k6,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_024.tif,24,,,,,,,,,,,Page 24,,,,,,
DIYALoG,ark:/21198/z1df8bwx,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_025.tif,25,,,,,,,,,,,Page 25,,,,,,
DIYALoG,ark:/21198/z18p7m7h,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_026.tif,26,,,,,,,,,,,Page 26,,,,,,
DIYALoG,ark:/21198/z14x6vhs,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_027.tif,27,,,,,,,,,,,Page 27,,,,,,
DIYALoG,ark:/21198/z11563r9,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_028.tif,28,,,,,,,,,,,Page 28,,,,,,
DIYALoG,ark:/21198/z1wd5m64,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_029.tif,29,,,,,,,,,,,Page 29,,,,,,
DIYALoG,ark:/21198/z1rn4vhv,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_030.tif,30,,,,,,,,,,,Page 30,,,,,,
DIYALoG,ark:/21198/z1n02t65,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_031.tif,31,,,,,,,,,,,Page 31,,,,,,
DIYALoG,ark:/21198/z1h722h8,ark:/21198/zz002hc4hx,,,Page,diyalog/image/21198-zz002hc4hx-1-master_032.tif,32,,,,,,,,,,,Page 32,,,,,,
DIYALoG,ark:/21198/z1cg19t0,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_001.tif,1,,,,,,,,,,,Page 1,,,,,,
DIYALoG,ark:/21198/z17q0k5k,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_002.tif,2,,,,,,,,,,,Page 2,,,,,,
DIYALoG,ark:/21198/z13x9tbz,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_003.tif,3,,,,,,,,,,,Page 3,,,,,,
DIYALoG,ark:/21198/z10592kg,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_004.tif,4,,,,,,,,,,,Page 4,,,,,,
DIYALoG,ark:/21198/z1vd8k4n,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_005.tif,5,,,,,,,,,,,Page 5,,,,,,
DIYALoG,ark:/21198/z1qr6hss,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_006.tif,6,,,,,,,,,,,Page 6,,,,,,
DIYALoG,ark:/21198/z1m05s4p,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_007.tif,7,,,,,,,,,,,Page 7,,,,,,
DIYALoG,ark:/21198/z1g751fs,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_008.tif,8,,,,,,,,,,,Page 8,,,,,,
DIYALoG,ark:/21198/z1bg48rh,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_009.tif,9,,,,,,,,,,,Page 9,,,,,,
DIYALoG,ark:/21198/z16q3hxf,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_010.tif,10,,,,,,,,,,,Page 10,,,,,,
DIYALoG,ark:/21198/z12z2s5p,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_011.tif,11,,,,,,,,,,,Page 11,,,,,,
